epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,816.592,0.64579,1.09195,0.49955,0.47271,0.88828,0.99803,1,0.995,0.87463,0.99803,1,0.995,0.83595,0.58114,0.75129,0.36111,0.41127,0.8202,0.0006338,0.0006338,0.0006338
71,828.118,0.58577,0.92269,0.49351,0.48701,0.8846,0.99803,1,0.995,0.87463,0.99803,1,0.995,0.83595,0.58114,0.75129,0.36111,0.41127,0.8202,0.000614,0.000614,0.000614
72,839.866,0.59704,1.01046,0.467,0.48866,0.88013,0.99797,1,0.995,0.89619,0.99797,1,0.995,0.88171,0.51112,0.69604,0.35637,0.38874,0.80641,0.0005942,0.0005942,0.0005942
73,851.386,0.57721,1.14086,0.52572,0.4846,0.86872,0.99797,1,0.995,0.89619,0.99797,1,0.995,0.88171,0.51112,0.69604,0.35637,0.38874,0.80641,0.0005744,0.0005744,0.0005744
74,862.94,0.50941,0.66634,0.47911,0.42066,0.83918,0.99763,1,0.995,0.89652,0.99763,1,0.995,0.89451,0.48775,0.66517,0.35649,0.39096,0.80651,0.0005546,0.0005546,0.0005546
75,874.614,0.57713,0.9248,0.45584,0.44133,0.86611,0.99763,1,0.995,0.89652,0.99763,1,0.995,0.89451,0.48775,0.66517,0.35649,0.39096,0.80651,0.0005348,0.0005348,0.0005348
76,886.031,0.56417,0.87282,0.43724,0.44744,0.86949,0.99811,1,0.995,0.89933,0.99811,1,0.995,0.90472,0.48583,0.62257,0.35358,0.40229,0.8098,0.000515,0.000515,0.000515
77,897.587,0.58884,0.89062,0.4647,0.4615,0.88284,0.99811,1,0.995,0.89933,0.99811,1,0.995,0.90472,0.48583,0.62257,0.35358,0.40229,0.8098,0.0004952,0.0004952,0.0004952
78,909.947,0.60855,0.87554,0.44172,0.54049,0.86796,0.998,1,0.995,0.90125,0.998,1,0.995,0.91852,0.50365,0.61496,0.35024,0.41239,0.81484,0.0004754,0.0004754,0.0004754
79,921.885,0.60765,1.0335,0.49176,0.46936,0.91315,0.998,1,0.995,0.90125,0.998,1,0.995,0.91852,0.50365,0.61496,0.35024,0.41239,0.81484,0.0004556,0.0004556,0.0004556
80,933.749,0.59292,0.74158,0.45302,0.44603,0.87341,0.99793,1,0.995,0.89448,0.99793,1,0.995,0.91956,0.49877,0.61701,0.34612,0.40507,0.81348,0.0004358,0.0004358,0.0004358
81,945.504,0.62904,1.04788,0.49218,0.48584,0.90314,0.99793,1,0.995,0.89448,0.99793,1,0.995,0.91956,0.49877,0.61701,0.34612,0.40507,0.81348,0.000416,0.000416,0.000416
82,957.216,0.54623,0.82866,0.46759,0.42196,0.8682,0.99792,1,0.995,0.90441,0.99792,1,0.995,0.91797,0.48955,0.59267,0.3407,0.38645,0.8074,0.0003962,0.0003962,0.0003962
