epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,3559.21,0.65858,0.4632,0.36653,0.44437,0.91095,0.99827,1,0.995,0.85932,0.99827,1,0.995,0.96772,0.58751,0.23032,0.12218,0.40249,0.86904,0.0007724,0.0007724,0.0007724
64,3614.15,0.6475,0.33991,0.29283,0.44013,0.89858,0.99928,1,0.995,0.86549,0.99928,1,0.995,0.97042,0.55098,0.21949,0.12048,0.39493,0.85878,0.0007526,0.0007526,0.0007526
65,3668.99,0.66321,0.35337,0.32257,0.42722,0.89775,0.99876,1,0.995,0.88095,0.99876,1,0.995,0.97766,0.529,0.19338,0.11941,0.37256,0.8502,0.0007328,0.0007328,0.0007328
66,3725.12,0.61542,0.3411,0.32244,0.42348,0.87191,0.99873,1,0.995,0.88265,0.99873,1,0.995,0.97403,0.56586,0.2006,0.11883,0.3844,0.855,0.000713,0.000713,0.000713
67,3779.92,0.64482,0.40418,0.3353,0.42746,0.87642,1,0.99941,0.995,0.87896,1,0.99941,0.995,0.97892,0.54945,0.19815,0.12105,0.37451,0.84984,0.0006932,0.0006932,0.0006932
68,3835.19,0.68165,0.45758,0.32462,0.4422,0.89651,0.99858,1,0.995,0.87396,0.99858,1,0.995,0.97835,0.5336,0.20596,0.11866,0.37222,0.84982,0.0006734,0.0006734,0.0006734
69,3890.02,0.66112,0.43725,0.39551,0.4633,0.91562,0.9985,1,0.995,0.88298,0.9985,1,0.995,0.98189,0.54752,0.18486,0.11791,0.36567,0.84846,0.0006536,0.0006536,0.0006536
70,3945.31,0.64564,0.37415,0.31841,0.42663,0.89546,0.99138,1,0.995,0.89466,0.99138,1,0.995,0.982,0.50471,0.183,0.12034,0.3606,0.84163,0.0006338,0.0006338,0.0006338
71,4000.95,0.59657,0.36504,0.32973,0.41865,0.8825,0.9991,0.99291,0.995,0.90845,0.9991,0.99291,0.995,0.97865,0.47069,0.19426,0.12203,0.35102,0.83575,0.000614,0.000614,0.000614
72,4056.13,0.60821,0.37142,0.28735,0.406,0.88059,0.99295,0.99865,0.9938,0.90757,0.99295,0.99865,0.9938,0.98058,0.46804,0.17709,0.12305,0.34926,0.83327,0.0005942,0.0005942,0.0005942
73,4111.99,0.58307,0.3524,0.29352,0.41824,0.88604,0.99265,1,0.99472,0.89755,0.99265,1,0.99472,0.98597,0.48249,0.16851,0.1204,0.35641,0.83619,0.0005744,0.0005744,0.0005744
74,4167.11,0.6646,0.37261,0.30057,0.42521,0.90658,0.99881,1,0.995,0.90527,0.99881,1,0.995,0.98556,0.49604,0.17005,0.1153,0.35884,0.84002,0.0005546,0.0005546,0.0005546
75,4222.72,0.61497,0.37212,0.34181,0.40884,0.87728,0.99847,1,0.995,0.91074,0.99847,1,0.995,0.98605,0.46946,0.17114,0.11276,0.35925,0.83615,0.0005348,0.0005348,0.0005348
76,4278.34,0.60388,0.35683,0.31675,0.41884,0.88578,0.99911,1,0.995,0.90407,0.99911,1,0.995,0.98734,0.47572,0.17253,0.11134,0.34156,0.8348,0.000515,0.000515,0.000515
77,4334.24,0.55485,0.35897,0.31647,0.40826,0.8648,0.9993,1,0.995,0.90984,0.9993,1,0.995,0.99249,0.4505,0.1556,0.11108,0.32906,0.82781,0.0004952,0.0004952,0.0004952
78,4389.48,0.57738,0.35036,0.27809,0.39989,0.87798,0.99926,1,0.995,0.91361,0.99926,1,0.995,0.99252,0.45152,0.16226,0.11401,0.32596,0.82727,0.0004754,0.0004754,0.0004754
79,4444.88,0.56293,0.27495,0.26465,0.38552,0.87819,0.99916,1,0.995,0.90403,0.99916,1,0.995,0.99174,0.46664,0.16807,0.11487,0.33275,0.83227,0.0004556,0.0004556,0.0004556
80,4500.69,0.56084,0.28468,0.27809,0.37452,0.86103,0.9992,1,0.995,0.91853,0.9992,1,0.995,0.99086,0.43058,0.14717,0.11243,0.3247,0.82312,0.0004358,0.0004358,0.0004358
81,4557.13,0.53495,0.30483,0.29624,0.38016,0.86767,0.99928,1,0.995,0.91785,0.99928,1,0.995,0.99219,0.42561,0.14599,0.11115,0.31399,0.8229,0.000416,0.000416,0.000416
82,4612.65,0.58999,0.38956,0.31918,0.40107,0.86511,0.99922,1,0.995,0.92815,0.99922,1,0.995,0.99266,0.4175,0.14631,0.11074,0.3238,0.82155,0.0003962,0.0003962,0.0003962
83,4667.87,0.5633,0.32902,0.33355,0.39208,0.86761,0.99879,1,0.995,0.92495,0.99879,1,0.995,0.99178,0.42153,0.13601,0.10868,0.31695,0.82114,0.0003764,0.0003764,0.0003764
84,4723.5,0.53817,0.30439,0.30303,0.37286,0.87024,0.99829,1,0.995,0.9274,0.99829,1,0.995,0.99363,0.40686,0.13553,0.10824,0.30709,0.81918,0.0003566,0.0003566,0.0003566
85,4779.39,0.52372,0.252,0.32295,0.36627,0.86323,0.99781,1,0.995,0.93294,0.99781,1,0.995,0.99338,0.39735,0.13528,0.10897,0.30352,0.81556,0.0003368,0.0003368,0.0003368
86,4834.6,0.53444,0.29421,0.30761,0.35464,0.86392,0.99795,1,0.995,0.93335,0.99795,1,0.995,0.99353,0.39487,0.1315,0.10932,0.30082,0.81445,0.000317,0.000317,0.000317
87,4889.98,0.519,0.2999,0.32357,0.3621,0.85896,0.9977,1,0.995,0.9411,0.9977,1,0.995,0.99247,0.38,0.12866,0.1086,0.29881,0.81272,0.0002972,0.0002972,0.0002972
